Job Role,Company,Experience Level,Location,Skills,Job Type,Work Mode,Salary Range,Job Posting Date,Min Salary (LPA),Max Salary (LPA)
Junior Data Analyst,Hernandez-Kirk,Entry Level,Bangalore,"powerbi, sql, tableau, google cloud, r",Part-Time,On-Site,3-30 LPA,2025-01-23,3.0,30.0
Senior Data Analyst,Hall-Johnston,Senior Level,Remote,"python, google cloud, powerbi",Full-Time,Remote,11-27 LPA,2025-01-31,11.0,27.0
Junior Data Analyst,Burch Inc,Internship,Kolkata,"python, powerbi, excel, sql, powerbi, machine learning",Internship,On-Site,7-34 LPA,2025-04-28,7.0,34.0
Senior Data Analyst,Frazier-Ray,Internship,Kolkata,"powerbi, machine learning, r, google cloud",Internship,Remote,8-35 LPA,2025-04-03,8.0,35.0
Junior Data Analyst,Wilkinson-Hudson,Internship,Pune,"powerbi, powerbi, tableau, powerbi, sql",Internship,On-Site,4-27 LPA,2024-09-13,4.0,27.0
Junior Data Analyst,Doyle Plc,Internship,Remote,"google cloud, tableau, sql, powerbi, machine learning",Internship,Hybrid,7-30 LPA,2025-08-12,7.0,30.0
Senior Data Analyst,Larsen-Stafford,Internship,New Delhi,"powerbi, r, powerbi, google cloud",Contract,Remote,9-31 LPA,2024-10-07,9.0,31.0
Data Analytics Specialist,Ingram And Sons,Entry Level,Bangalore,"sql, excel, powerbi, r",Contract,On-Site,13-18 LPA,2025-06-25,13.0,18.0
Data Analyst,Jackson-Andrews,Entry Level,Chennai,"powerbi, powerbi, google colab, machine learning, excel, sql",Internship,Hybrid,4-17 LPA,2025-05-31,4.0,17.0
Senior Data Analyst,Higgins And Sons,Mid Level,Pune,"r, powerbi, machine learning, google cloud",Full-Time,Remote,6-16 LPA,2025-03-07,6.0,16.0
Data Analytics Specialist,Humphrey Ltd,Entry Level,Remote,"excel, powerbi, sql, powerbi, machine learning",Internship,Remote,11-22 LPA,2025-04-17,11.0,22.0
Senior Data Analyst,Phillips Group,Internship,Pune,"tableau, google colab, powerbi, sql",Full-Time,On-Site,15-22 LPA,2025-07-18,15.0,22.0
Junior Data Analyst,Patel-Anderson,Senior Level,Kolkata,"tableau, r, google cloud, powerbi, powerbi, machine learning",Part-Time,Remote,4-31 LPA,2025-05-14,4.0,31.0
Junior Data Analyst,Davis-Porter,Entry Level,Mumbai,"excel, powerbi, machine learning",Full-Time,Hybrid,11-34 LPA,2025-08-21,11.0,34.0
Data Analyst,Perez-Davis,Internship,Kolkata,"excel, powerbi, python, machine learning",Part-Time,Hybrid,13-33 LPA,2025-01-09,13.0,33.0
Junior Data Analyst,Baker Inc,Internship,Remote,"tableau, powerbi, r",Full-Time,On-Site,14-21 LPA,2024-12-28,14.0,21.0
Junior Data Analyst,Nelson-Franklin,Mid Level,New Delhi,"google colab, powerbi, sql, python",Internship,On-Site,11-31 LPA,2025-07-31,11.0,31.0
Junior Data Analyst,"Barron, Soto And Henry",Entry Level,Kolkata,"machine learning, excel, powerbi, python",Part-Time,On-Site,3-34 LPA,2025-04-28,3.0,34.0
Data Analyst,Matthews Plc,Senior Level,Mumbai,"tableau, python, powerbi",Contract,On-Site,11-35 LPA,2024-12-01,11.0,35.0
Senior Data Analyst,"Glover, Valenzuela And Chavez",Entry Level,Chennai,"tableau, python, google cloud",Internship,Hybrid,14-17 LPA,2024-09-28,14.0,17.0
Data Analytics Specialist,Moreno Inc,Senior Level,Mumbai,"r, excel, google colab, sql",Contract,Hybrid,12-20 LPA,2025-08-17,12.0,20.0
Data Analytics Specialist,Smith Inc,Mid Level,Chennai,"powerbi, google cloud, sql, powerbi",Part-Time,Hybrid,3-30 LPA,2025-02-08,3.0,30.0
Senior Data Analyst,Taylor And Sons,Entry Level,Pune,"r, google cloud, excel",Internship,On-Site,13-31 LPA,2025-03-25,13.0,31.0
Data Analyst,"Morrison, Miranda And Mejia",Internship,Pune,"machine learning, python, tableau, google cloud, r, google colab",Full-Time,On-Site,13-22 LPA,2024-11-01,13.0,22.0
Data Analyst,"Jones, Harding And Berry",Mid Level,Bangalore,"google colab, powerbi, r, python, google cloud, powerbi",Contract,Remote,7-27 LPA,2025-04-08,7.0,27.0
Senior Data Analyst,Miranda-Newman,Internship,Pune,"sql, powerbi, powerbi",Full-Time,Hybrid,12-18 LPA,2025-02-05,12.0,18.0
Junior Data Analyst,Johnson Inc,Senior Level,Mumbai,"machine learning, python, powerbi",Contract,Remote,11-24 LPA,2025-03-01,11.0,24.0
Senior Data Analyst,Carr-Santiago,Internship,Bangalore,"tableau, powerbi, google cloud, excel, python, machine learning",Contract,On-Site,15-20 LPA,2024-09-03,15.0,20.0
Senior Data Analyst,Todd-Torres,Mid Level,Mumbai,"sql, r, python",Full-Time,Remote,14-27 LPA,2025-07-27,14.0,27.0
Data Analyst,"Yates, Carroll And Brown",Senior Level,Mumbai,"google colab, sql, powerbi, powerbi, google cloud, python",Full-Time,Hybrid,9-18 LPA,2025-03-01,9.0,18.0
Senior Data Analyst,"Sullivan, Joseph And Hines",Senior Level,Mumbai,"python, powerbi, r, powerbi, excel",Contract,On-Site,7-24 LPA,2025-03-06,7.0,24.0
Data Analytics Specialist,"Johnson, Hayes And Hernandez",Entry Level,Bangalore,"tableau, python, powerbi, r",Part-Time,Hybrid,5-28 LPA,2025-02-02,5.0,28.0
Senior Data Analyst,Johnson Group,Entry Level,Mumbai,"powerbi, powerbi, powerbi, excel, google colab, tableau",Contract,Remote,7-20 LPA,2025-04-16,7.0,20.0
Data Analytics Specialist,"Harris, Aguilar And Bradshaw",Mid Level,Chennai,"excel, python, sql, r",Part-Time,Remote,4-33 LPA,2025-02-22,4.0,33.0
Senior Data Analyst,"Robertson, Nguyen And Meyers",Senior Level,Hyderabad,"google colab, powerbi, sql, powerbi",Full-Time,Hybrid,9-34 LPA,2024-11-28,9.0,34.0
Data Analyst,Gibson Plc,Internship,Chennai,"google colab, google cloud, powerbi, powerbi, python",Full-Time,Hybrid,8-33 LPA,2025-01-20,8.0,33.0
Data Analyst,Torres Plc,Mid Level,Kolkata,"python, r, machine learning, powerbi, powerbi",Part-Time,Hybrid,14-29 LPA,2025-01-12,14.0,29.0
Junior Data Analyst,"Brown, Peters And Hall",Mid Level,Bangalore,"python, excel, r, powerbi, google cloud",Part-Time,Remote,3-21 LPA,2025-04-28,3.0,21.0
Junior Data Analyst,James-Stewart,Internship,New Delhi,"powerbi, r, google cloud, machine learning",Full-Time,On-Site,15-30 LPA,2024-12-20,15.0,30.0
Senior Data Analyst,"Wilkins, David And Boyd",Mid Level,Chennai,"powerbi, r, excel, sql",Contract,Hybrid,11-32 LPA,2025-08-28,11.0,32.0
Data Analytics Specialist,Moran Ltd,Entry Level,Chennai,"google colab, python, excel, powerbi, tableau",Internship,Remote,8-29 LPA,2025-01-05,8.0,29.0
Senior Data Analyst,"Munoz, Smith And Long",Mid Level,Kolkata,"tableau, powerbi, sql, machine learning, powerbi, python",Part-Time,On-Site,12-16 LPA,2024-11-03,12.0,16.0
Senior Data Analyst,Campbell Inc,Entry Level,New Delhi,"r, python, google colab, powerbi, tableau, powerbi",Internship,Hybrid,15-17 LPA,2025-01-20,15.0,17.0
Junior Data Analyst,Gibson-White,Internship,New Delhi,"powerbi, excel, google colab, sql, python",Full-Time,Remote,14-29 LPA,2024-11-13,14.0,29.0
Data Analyst,Pierce Inc,Mid Level,Mumbai,"excel, tableau, google colab",Contract,Hybrid,11-31 LPA,2025-01-20,11.0,31.0
Data Analyst,"Mendoza, Williams And Drake",Internship,Bangalore,"powerbi, machine learning, sql",Part-Time,Hybrid,7-26 LPA,2025-08-04,7.0,26.0
Junior Data Analyst,"Thomas, Thompson And Wheeler",Mid Level,Bangalore,"python, powerbi, r, sql, google cloud",Part-Time,Hybrid,4-34 LPA,2024-10-12,4.0,34.0
Data Analytics Specialist,"Spence, Travis And White",Senior Level,New Delhi,"r, tableau, powerbi",Full-Time,Hybrid,7-33 LPA,2024-11-23,7.0,33.0
Junior Data Analyst,Scott-Davis,Internship,Hyderabad,"google cloud, python, r, tableau, sql",Part-Time,Hybrid,15-31 LPA,2025-05-12,15.0,31.0
Data Analytics Specialist,Joyce-Arellano,Internship,Hyderabad,"sql, google cloud, powerbi",Internship,Remote,6-32 LPA,2025-05-31,6.0,32.0
Junior Data Analyst,"Flores, Reynolds And Green",Entry Level,Kolkata,"powerbi, machine learning, sql",Part-Time,On-Site,9-30 LPA,2025-08-03,9.0,30.0
Senior Data Analyst,Harper-Miller,Entry Level,Kolkata,"excel, powerbi, r, powerbi",Contract,Remote,5-25 LPA,2024-10-31,5.0,25.0
Senior Data Analyst,Hayes Llc,Entry Level,Remote,"google colab, tableau, excel, python, powerbi, google cloud",Part-Time,On-Site,12-33 LPA,2025-05-01,12.0,33.0
Data Analytics Specialist,Moon Inc,Internship,Chennai,"machine learning, r, google colab, google cloud",Full-Time,On-Site,4-32 LPA,2024-10-17,4.0,32.0
Data Analyst,"Green, Matthews And Tucker",Senior Level,Chennai,"sql, google colab, tableau, powerbi, r",Contract,Remote,15-30 LPA,2025-03-08,15.0,30.0
Data Analytics Specialist,Dean And Sons,Internship,Chennai,"google colab, powerbi, google cloud",Internship,On-Site,15-27 LPA,2025-07-04,15.0,27.0
Data Analyst,"Smith, Simpson And Baker",Entry Level,Kolkata,"r, machine learning, powerbi, sql, tableau, google colab",Contract,On-Site,10-32 LPA,2024-11-17,10.0,32.0
Junior Data Analyst,Cook-Underwood,Senior Level,Pune,"machine learning, sql, powerbi",Contract,Hybrid,7-27 LPA,2025-05-22,7.0,27.0
Data Analytics Specialist,"Johnson, Reyes And Brown",Senior Level,New Delhi,"powerbi, google cloud, r, python",Internship,Hybrid,14-31 LPA,2024-10-25,14.0,31.0
Senior Data Analyst,Williams-Baker,Mid Level,Pune,"google cloud, google colab, excel",Internship,On-Site,4-17 LPA,2025-03-23,4.0,17.0
Data Analytics Specialist,Campbell Inc,Mid Level,Hyderabad,"google colab, python, powerbi, powerbi, excel",Part-Time,Hybrid,3-29 LPA,2025-05-02,3.0,29.0
Data Analytics Specialist,"Wood, Mitchell And Wilson",Entry Level,Mumbai,"powerbi, sql, excel, powerbi, google colab",Full-Time,On-Site,12-31 LPA,2024-10-25,12.0,31.0
Data Analyst,Owens Group,Mid Level,Pune,"powerbi, google colab, excel",Contract,Remote,11-27 LPA,2024-10-07,11.0,27.0
Senior Data Analyst,"Brown, Johnson And Mccall",Mid Level,Mumbai,"excel, google colab, google cloud",Internship,On-Site,8-25 LPA,2025-06-22,8.0,25.0
Junior Data Analyst,"Flores, Chan And Phillips",Internship,Kolkata,"powerbi, excel, python, google colab",Internship,On-Site,6-23 LPA,2025-01-17,6.0,23.0
Senior Data Analyst,Mejia And Sons,Senior Level,Remote,"powerbi, powerbi, powerbi, python",Full-Time,Remote,13-35 LPA,2025-06-28,13.0,35.0
Data Analyst,"Garcia, Brooks And Spencer",Mid Level,Chennai,"tableau, machine learning, powerbi, python",Full-Time,Hybrid,11-33 LPA,2024-11-25,11.0,33.0
Data Analytics Specialist,"Thomas, Turner And Crawford",Mid Level,New Delhi,"excel, tableau, google colab, python",Full-Time,Hybrid,10-26 LPA,2024-12-14,10.0,26.0
Data Analyst,"Flores, Villanueva And Miller",Internship,Chennai,"r, python, excel, powerbi, powerbi",Part-Time,On-Site,6-33 LPA,2025-05-23,6.0,33.0
Junior Data Analyst,Chambers Ltd,Entry Level,Pune,"python, google cloud, machine learning",Full-Time,On-Site,13-24 LPA,2025-06-09,13.0,24.0
Data Analyst,Wagner And Sons,Internship,Hyderabad,"powerbi, google colab, google cloud, powerbi, r",Part-Time,On-Site,8-25 LPA,2025-08-27,8.0,25.0
Data Analyst,Ramirez-Barrett,Mid Level,Bangalore,"r, google cloud, powerbi, google colab, powerbi, sql",Part-Time,On-Site,6-23 LPA,2025-03-26,6.0,23.0
Data Analyst,Gonzalez-Weaver,Mid Level,Mumbai,"powerbi, python, r, google cloud, powerbi, powerbi",Full-Time,Hybrid,15-35 LPA,2025-06-21,15.0,35.0
Data Analyst,"Montes, Reed And Morgan",Entry Level,Pune,"powerbi, machine learning, google colab, powerbi, python, excel",Full-Time,On-Site,7-20 LPA,2025-04-25,7.0,20.0
Junior Data Analyst,Holloway Llc,Entry Level,Hyderabad,"machine learning, tableau, powerbi",Contract,Hybrid,10-20 LPA,2024-09-29,10.0,20.0
Senior Data Analyst,"Rivera, Alexander And Jones",Entry Level,Pune,"python, sql, powerbi, excel, tableau, powerbi",Full-Time,Remote,5-27 LPA,2025-04-07,5.0,27.0
Senior Data Analyst,Meyer Inc,Senior Level,Chennai,"google cloud, google colab, powerbi, sql, machine learning, python",Contract,Remote,3-35 LPA,2025-08-13,3.0,35.0
Junior Data Analyst,Williams Llc,Mid Level,New Delhi,"tableau, sql, google colab",Part-Time,Hybrid,8-21 LPA,2025-06-07,8.0,21.0
Junior Data Analyst,Smith Ltd,Internship,Pune,"powerbi, tableau, sql, r, powerbi, excel",Full-Time,Hybrid,4-28 LPA,2024-09-11,4.0,28.0
Junior Data Analyst,Alvarez-Kelley,Internship,Remote,"google cloud, powerbi, powerbi, google colab, sql, excel",Full-Time,Remote,14-25 LPA,2025-01-26,14.0,25.0
Data Analytics Specialist,Ramirez Ltd,Mid Level,Kolkata,"python, powerbi, r, tableau, google colab, powerbi",Contract,Hybrid,8-24 LPA,2024-11-06,8.0,24.0
Senior Data Analyst,Booker-Palmer,Mid Level,Mumbai,"powerbi, machine learning, sql",Part-Time,Hybrid,13-21 LPA,2025-02-15,13.0,21.0
Senior Data Analyst,"Collins, Mills And Jones",Internship,Hyderabad,"machine learning, powerbi, google colab, google cloud, tableau",Part-Time,Hybrid,4-34 LPA,2024-12-03,4.0,34.0
Data Analytics Specialist,Chambers Inc,Entry Level,Kolkata,"python, r, google colab, sql, machine learning, powerbi",Internship,Remote,6-34 LPA,2025-06-03,6.0,34.0
Junior Data Analyst,Allen-Cox,Internship,Kolkata,"python, machine learning, r, powerbi, powerbi, tableau",Internship,On-Site,12-24 LPA,2025-03-13,12.0,24.0
Data Analyst,Nash-Munoz,Entry Level,New Delhi,"sql, powerbi, machine learning",Contract,Remote,8-20 LPA,2025-03-12,8.0,20.0
Junior Data Analyst,"Perez, Chan And Nelson",Mid Level,Mumbai,"excel, powerbi, powerbi, google colab, tableau, powerbi",Full-Time,On-Site,4-29 LPA,2025-06-13,4.0,29.0
Data Analytics Specialist,"Smith, Wilson And Johnson",Mid Level,Mumbai,"powerbi, machine learning, powerbi, powerbi, tableau, sql",Internship,Remote,7-34 LPA,2024-09-21,7.0,34.0
Data Analyst,Hudson-Wheeler,Entry Level,Chennai,"r, sql, machine learning, tableau",Contract,Remote,6-23 LPA,2024-09-15,6.0,23.0
Junior Data Analyst,Brown-Henderson,Entry Level,New Delhi,"powerbi, google colab, r, tableau, powerbi",Part-Time,Remote,6-17 LPA,2025-03-04,6.0,17.0
Senior Data Analyst,Long-Little,Entry Level,Pune,"powerbi, powerbi, machine learning",Full-Time,On-Site,8-27 LPA,2025-02-21,8.0,27.0
Data Analyst,Sanchez Plc,Mid Level,Bangalore,"machine learning, tableau, powerbi, powerbi, google colab, python",Contract,Remote,13-18 LPA,2024-09-11,13.0,18.0
Data Analyst,"Gonzalez, Evans And Ellison",Internship,Kolkata,"machine learning, powerbi, r",Internship,Remote,3-19 LPA,2024-11-11,3.0,19.0
Senior Data Analyst,"Thompson, Powers And Jones",Internship,Bangalore,"google colab, powerbi, r, machine learning",Full-Time,On-Site,14-19 LPA,2025-07-10,14.0,19.0
Senior Data Analyst,Christian-Shannon,Entry Level,New Delhi,"excel, r, sql, machine learning, tableau",Full-Time,On-Site,8-32 LPA,2025-07-26,8.0,32.0
Data Analytics Specialist,Williams Llc,Internship,New Delhi,"excel, r, google colab, machine learning, python, google cloud",Contract,Hybrid,8-33 LPA,2025-06-02,8.0,33.0
Senior Data Analyst,Chavez-Adams,Internship,Pune,"tableau, machine learning, powerbi, powerbi, google cloud, excel",Internship,On-Site,7-34 LPA,2025-06-01,7.0,34.0
Junior Data Analyst,"Johnson, Krause And Patterson",Senior Level,Mumbai,"python, google colab, machine learning",Part-Time,Remote,7-16 LPA,2025-07-12,7.0,16.0
Data Analytics Specialist,Miller Group,Entry Level,Kolkata,"powerbi, google colab, machine learning, r, excel",Internship,Hybrid,13-25 LPA,2025-07-19,13.0,25.0
Data Analyst,Miller-Smith,Mid Level,Kolkata,"excel, powerbi, tableau, sql, google colab",Part-Time,Hybrid,5-19 LPA,2024-10-24,5.0,19.0
Data Analytics Specialist,White Inc,Senior Level,Hyderabad,"powerbi, powerbi, google colab, machine learning, google cloud",Full-Time,Remote,15-30 LPA,2024-10-31,15.0,30.0
Senior Data Analyst,Riley Group,Internship,Pune,"powerbi, sql, python, powerbi, r",Internship,Remote,12-19 LPA,2024-10-10,12.0,19.0
Junior Data Analyst,"Terry, King And Green",Senior Level,Remote,"powerbi, excel, tableau, machine learning, google cloud, powerbi",Internship,On-Site,9-31 LPA,2025-08-19,9.0,31.0
Senior Data Analyst,Cain Group,Senior Level,Bangalore,"powerbi, google cloud, powerbi",Full-Time,On-Site,5-22 LPA,2025-08-16,5.0,22.0
Data Analytics Specialist,Morris Inc,Internship,Mumbai,"powerbi, google colab, powerbi, sql",Part-Time,On-Site,8-34 LPA,2024-12-30,8.0,34.0
Junior Data Analyst,"Smith, Dougherty And Kennedy",Internship,Kolkata,"google cloud, tableau, machine learning, powerbi, powerbi, excel",Part-Time,On-Site,13-17 LPA,2024-09-14,13.0,17.0
Junior Data Analyst,"Taylor, Smith And Woods",Entry Level,Bangalore,"google cloud, python, r, powerbi",Contract,Remote,4-24 LPA,2025-06-05,4.0,24.0
Senior Data Analyst,"Hughes, Bonilla And Harrison",Internship,Bangalore,"python, google cloud, r, excel, machine learning, powerbi",Full-Time,Remote,7-22 LPA,2025-03-29,7.0,22.0
Senior Data Analyst,Taylor Ltd,Entry Level,Chennai,"google cloud, powerbi, python",Contract,Remote,8-30 LPA,2025-01-05,8.0,30.0
Junior Data Analyst,"Clark, Reed And Jones",Internship,Hyderabad,"google colab, powerbi, python",Full-Time,On-Site,12-35 LPA,2024-10-13,12.0,35.0
Data Analyst,Haynes Inc,Senior Level,Pune,"powerbi, powerbi, sql",Full-Time,Remote,5-18 LPA,2025-03-07,5.0,18.0
Data Analytics Specialist,Morales Group,Senior Level,Remote,"sql, powerbi, machine learning",Part-Time,Remote,6-30 LPA,2025-07-21,6.0,30.0
Senior Data Analyst,Jones-West,Senior Level,Bangalore,"machine learning, python, powerbi",Internship,On-Site,10-19 LPA,2025-05-12,10.0,19.0
Data Analyst,Lynch-Wright,Senior Level,Hyderabad,"r, powerbi, python, machine learning",Part-Time,Hybrid,14-17 LPA,2024-12-10,14.0,17.0
Senior Data Analyst,Ramirez Llc,Entry Level,Chennai,"machine learning, sql, python, powerbi, excel",Contract,Hybrid,10-21 LPA,2025-07-04,10.0,21.0
Data Analyst,Crane-Burton,Entry Level,Hyderabad,"google colab, google cloud, powerbi",Part-Time,Hybrid,8-23 LPA,2025-07-15,8.0,23.0
Junior Data Analyst,Haynes Group,Senior Level,Chennai,"tableau, powerbi, google cloud, powerbi, machine learning",Part-Time,Hybrid,6-16 LPA,2024-12-11,6.0,16.0
Senior Data Analyst,Park-Vasquez,Mid Level,New Delhi,"python, google cloud, google colab",Contract,Hybrid,14-27 LPA,2024-11-01,14.0,27.0
Data Analytics Specialist,"Zamora, Matthews And Bryan",Senior Level,Mumbai,"google cloud, tableau, r, google colab",Full-Time,Hybrid,6-32 LPA,2025-02-12,6.0,32.0
Junior Data Analyst,Miranda Ltd,Senior Level,Mumbai,"powerbi, powerbi, machine learning, python, tableau, excel",Full-Time,On-Site,8-27 LPA,2025-08-05,8.0,27.0
Senior Data Analyst,Stokes-Black,Senior Level,Remote,"powerbi, powerbi, excel, python, google cloud",Internship,Hybrid,7-20 LPA,2024-12-02,7.0,20.0
Data Analytics Specialist,Smith Llc,Senior Level,Remote,"excel, google colab, python, r, tableau, sql",Part-Time,Hybrid,9-34 LPA,2025-02-22,9.0,34.0
Data Analyst,"Miller, Ramirez And Blanchard",Entry Level,Hyderabad,"powerbi, excel, google colab, sql, powerbi, machine learning",Contract,Remote,12-23 LPA,2025-02-10,12.0,23.0
Junior Data Analyst,Lawrence-Griffin,Internship,Pune,"powerbi, r, excel",Part-Time,Remote,3-19 LPA,2024-12-07,3.0,19.0
Senior Data Analyst,Ramsey-Ortega,Internship,Hyderabad,"powerbi, machine learning, r, python, powerbi, sql",Full-Time,Hybrid,3-27 LPA,2025-08-01,3.0,27.0
Senior Data Analyst,Gould-Howard,Entry Level,Hyderabad,"powerbi, python, powerbi, sql",Part-Time,Remote,9-28 LPA,2024-12-28,9.0,28.0
Senior Data Analyst,Martinez-Ward,Mid Level,Chennai,"tableau, powerbi, python, google cloud, powerbi, sql",Internship,Hybrid,13-17 LPA,2025-06-18,13.0,17.0
Data Analytics Specialist,Ross Plc,Mid Level,Kolkata,"tableau, google colab, machine learning, powerbi",Part-Time,On-Site,3-22 LPA,2024-11-08,3.0,22.0
Senior Data Analyst,Edwards-Roberson,Mid Level,Kolkata,"tableau, powerbi, google cloud, machine learning, google colab",Full-Time,Hybrid,4-28 LPA,2025-07-25,4.0,28.0
Data Analytics Specialist,Moore-Lozano,Senior Level,Mumbai,"powerbi, python, tableau, powerbi, google colab, sql",Internship,Hybrid,14-18 LPA,2025-02-06,14.0,18.0
Data Analyst,Rogers-Edwards,Mid Level,Chennai,"powerbi, machine learning, powerbi, sql, tableau",Contract,Remote,11-16 LPA,2025-01-16,11.0,16.0
Senior Data Analyst,Mcdonald And Sons,Senior Level,Chennai,"python, powerbi, powerbi",Internship,Hybrid,9-21 LPA,2025-03-12,9.0,21.0
Senior Data Analyst,"Collins, Park And Wilkins",Senior Level,Chennai,"google colab, r, powerbi, sql, google cloud, powerbi",Internship,Hybrid,7-28 LPA,2024-12-25,7.0,28.0
Senior Data Analyst,Adams And Sons,Senior Level,New Delhi,"google colab, excel, powerbi, sql, powerbi",Part-Time,On-Site,5-31 LPA,2025-06-09,5.0,31.0
Data Analyst,Petersen Plc,Mid Level,Bangalore,"sql, tableau, r, google cloud, excel, powerbi",Contract,Hybrid,9-30 LPA,2025-03-16,9.0,30.0
Junior Data Analyst,Brown-Martinez,Internship,Bangalore,"python, google cloud, google colab",Contract,Remote,14-34 LPA,2025-06-22,14.0,34.0
Data Analytics Specialist,"Thomas, Mccarthy And Harris",Entry Level,Chennai,"google cloud, tableau, powerbi, google colab, powerbi, powerbi",Internship,Remote,13-32 LPA,2025-06-02,13.0,32.0
Data Analytics Specialist,"Hernandez, Henry And Taylor",Senior Level,Remote,"python, machine learning, r",Contract,Remote,13-20 LPA,2025-03-20,13.0,20.0
Senior Data Analyst,Beck-Schneider,Entry Level,New Delhi,"python, google colab, excel, r",Contract,Hybrid,12-29 LPA,2025-01-18,12.0,29.0
Data Analytics Specialist,Burton-Olson,Entry Level,New Delhi,"excel, r, google cloud, powerbi",Part-Time,Remote,3-17 LPA,2025-07-03,3.0,17.0
Junior Data Analyst,Gonzalez-Johnson,Senior Level,New Delhi,"google colab, powerbi, powerbi, powerbi, sql",Contract,Remote,13-19 LPA,2025-05-26,13.0,19.0
Data Analyst,Watkins Group,Mid Level,Hyderabad,"r, powerbi, powerbi, python, tableau, machine learning",Internship,Hybrid,13-31 LPA,2025-04-01,13.0,31.0
Senior Data Analyst,"Bauer, Escobar And Stafford",Entry Level,Pune,"tableau, python, machine learning, r",Contract,Remote,10-26 LPA,2025-08-21,10.0,26.0
Senior Data Analyst,Smith Llc,Senior Level,New Delhi,"tableau, powerbi, sql, google colab",Internship,Remote,9-16 LPA,2025-06-08,9.0,16.0
Data Analyst,Walters Group,Entry Level,Mumbai,"google colab, sql, powerbi, powerbi, powerbi, google cloud",Internship,On-Site,5-18 LPA,2025-06-02,5.0,18.0
Data Analyst,Moses-Obrien,Internship,Hyderabad,"r, machine learning, sql, powerbi, python",Full-Time,Remote,8-35 LPA,2025-01-31,8.0,35.0
Senior Data Analyst,Mcdonald Plc,Mid Level,Hyderabad,"google colab, excel, r, tableau",Part-Time,On-Site,13-19 LPA,2025-05-10,13.0,19.0
Data Analytics Specialist,Brooks Llc,Entry Level,Kolkata,"python, powerbi, excel, sql, tableau",Internship,Remote,3-23 LPA,2025-04-04,3.0,23.0
Junior Data Analyst,"Carter, Harris And Smith",Mid Level,Kolkata,"google colab, tableau, google cloud, machine learning, excel, powerbi",Part-Time,Remote,14-24 LPA,2024-10-30,14.0,24.0
Data Analyst,Guerrero-Parks,Senior Level,Chennai,"r, powerbi, excel, tableau, powerbi, python",Internship,On-Site,14-16 LPA,2024-12-11,14.0,16.0
Data Analyst,Carrillo Ltd,Entry Level,Hyderabad,"powerbi, python, powerbi, r",Contract,Remote,6-29 LPA,2024-10-31,6.0,29.0
Senior Data Analyst,Mitchell-Simpson,Internship,New Delhi,"google colab, sql, python, tableau, machine learning, google cloud",Internship,Remote,13-21 LPA,2024-12-05,13.0,21.0
Data Analyst,"Powell, Randolph And Figueroa",Senior Level,Hyderabad,"excel, google cloud, tableau, powerbi, powerbi, google colab",Internship,Hybrid,10-17 LPA,2025-03-23,10.0,17.0
Senior Data Analyst,Robbins-Dennis,Senior Level,Mumbai,"sql, powerbi, google colab, google cloud, machine learning",Internship,Hybrid,14-34 LPA,2025-01-03,14.0,34.0
Senior Data Analyst,Mayer-Vega,Mid Level,Pune,"python, excel, powerbi, tableau, powerbi, sql",Contract,Remote,13-35 LPA,2025-05-23,13.0,35.0
Data Analyst,Hayden Ltd,Internship,Chennai,"r, sql, excel, powerbi, google cloud",Contract,Hybrid,3-30 LPA,2024-09-19,3.0,30.0
Junior Data Analyst,"Barry, Robinson And Gibbs",Senior Level,Hyderabad,"powerbi, google colab, tableau",Part-Time,Hybrid,13-21 LPA,2025-01-06,13.0,21.0
Junior Data Analyst,Holden Plc,Entry Level,Kolkata,"tableau, r, google colab, excel, powerbi",Full-Time,Remote,8-18 LPA,2024-11-11,8.0,18.0
Senior Data Analyst,Hunter-Hubbard,Mid Level,Bangalore,"powerbi, sql, google cloud",Internship,Remote,13-30 LPA,2024-10-16,13.0,30.0
Data Analytics Specialist,"Banks, Diaz And Henson",Internship,Kolkata,"excel, r, google cloud, sql, powerbi",Full-Time,On-Site,5-17 LPA,2025-08-22,5.0,17.0
Data Analytics Specialist,Johnson Llc,Internship,Kolkata,"google colab, google cloud, powerbi, powerbi, excel",Contract,Remote,13-25 LPA,2025-05-10,13.0,25.0
Junior Data Analyst,Stout-Romero,Internship,Mumbai,"python, powerbi, tableau, google cloud, sql, r",Internship,On-Site,6-18 LPA,2025-01-19,6.0,18.0
Data Analytics Specialist,"Fischer, Watson And Williams",Mid Level,Hyderabad,"excel, machine learning, r, sql",Full-Time,Hybrid,5-23 LPA,2024-10-22,5.0,23.0
Senior Data Analyst,Jones Llc,Mid Level,Hyderabad,"tableau, r, powerbi, python, google cloud",Full-Time,On-Site,7-25 LPA,2025-02-01,7.0,25.0
Data Analyst,Rojas And Sons,Senior Level,Kolkata,"sql, powerbi, google cloud, powerbi, machine learning",Internship,Remote,3-32 LPA,2025-02-10,3.0,32.0
Data Analyst,Ibarra Inc,Entry Level,Bangalore,"tableau, google colab, powerbi, machine learning, google cloud, powerbi",Internship,Remote,3-19 LPA,2024-11-21,3.0,19.0
Junior Data Analyst,Singleton-Martin,Internship,Mumbai,"r, machine learning, excel",Contract,On-Site,6-22 LPA,2025-08-24,6.0,22.0
Senior Data Analyst,Baldwin Inc,Internship,Bangalore,"sql, powerbi, machine learning, r",Contract,Remote,15-32 LPA,2024-11-29,15.0,32.0
